Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
1,CMI-1614C-120,CUI Devices,BUZZER MAGNETIC 12V 16MM TH,239,In Stock,,10,10,Tray,102-3741-ND,2.79100,$27.91,1,,102-3741-ND,8,https://www.cuidevices.com/product/resource/cmi-1614c-120.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8531.80.9041,China,https://www.cuidevices.com/product/resource/material-compliance/cmi-1614c-120,102-3741-ND,https://media.digikey.com/photos/CUI%20Photos/MFG_CMI-1614C-120.jpg
2,1729128,Phoenix Contact,TERM BLK 2P SIDE ENT 5.08MM PCB,"39,675",In Stock,,10,10,Bulk,277-1247-ND,1.16200,$11.62,1,,277-1247-ND,21,https://www.phoenixcontact.com/product/pdf/MTcyOTEyOA?_realm=us&_locale=en-US&blocks=commercial-data%2Ctechnical-data%2Cdrawings%2Capprovals%2Cclassifications%2Cenvironmental-compliance-data%2Call-accessories,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8536.69.4040,China,https://www.phoenixcontact.com/online/portal/us?1dmy&urile=wcm%3apath%3a/usen/web/main/service_and_support/application_pages/Product_Compliance/Product_Compliance,277-1247-ND,https://media.digikey.com/photos/Phoenix%20Photos/1729128.jpg
3,694106301002,Würth Elektronik,CONN PWR JACK 2.1X5.5MM SOLDER,"40,477",In Stock,,10,10,Bag,732-5930-ND,0.97000,$9.70,1,,732-5930-ND,15,https://www.we-online.com/katalog/datasheet/6941xx301002.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8536.69.4040,China,https://media.digikey.com/pdf/Other%20Related%20Documents/Wurth/Certificate_of_Compliance_ROHS.pdf,732-5930-ND,https://media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_694106x0x002.jpg
4,WLBD2012HCU601TH,Walsin Technology Corporation,CHIP BEAD 600 OHM 0805,"2,823",In Stock,,10,10,Cut Tape (CT),1292-WLBD2012HCU601THCT-ND,0.02800,$0.28,1,,1292-WLBD2012HCU601THCT-ND,30,http://www.passivecomponent.com/wp-content/uploads/inductor/WLBD1005-4532_HC_Series.pdf,,-,,Active,ROHS3 Compliant,EAR99,8548.00.0000,Taiwan,http://www.passivecomponent.com/download/reach_rohs_compliance_declaration-2/?wpdmdl=1343,1292-WLBD2012HCU601THCT-ND,https://media.digikey.com/Renders/Walsin%20Tech/WLBD2012x.JPG
5,NE556DBR,Texas Instruments,IC OSC TIMER DUAL 100KHZ 14SSOP,505,In Stock,,10,10,Cut Tape (CT),296-31698-1-ND,0.49700,$4.97,1,,296-31698-1-ND,6,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fna556,,-,,Active,ROHS3 Compliant,EAR99,8542.39.0001,Malaysia,,296-31698-1-ND,https://media.digikey.com/photos/Texas%20Instr%20Photos/296-14-SSOP.jpg
6,AS78L05RTR-E1,Diodes Incorporated,IC REG LINEAR 5V 100MA SOT89-3,"220,818",In Stock,,10,10,Cut Tape (CT),AS78L05RTR-E1DICT-ND,0.30600,$3.06,1,,AS78L05RTR-E1DICT-ND,27,https://media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/AS78Lxx_Aug2013_DS.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8542.39.0001,China,https://www.diodes.com/assets/Quality-Reliability-Docs/Master_CofC.pdf,AS78L05RTR-E1DICT-ND,https://media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg
7,TC33X-2-103E,Bourns Inc.,TRIMMER 10K OHM 0.1W J LEAD TOP,"113,212",In Stock,,10,10,Cut Tape (CT),TC33X-103ECT-ND,0.27300,$2.73,1,,TC33X-103ECT-ND,32,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8533.40.8050,China,https://www.bourns.com/docs/rohs-cofc/cofc_trim2.pdf?sfvrsn=d03d9c0f_4|https://www.bourns.com/docs/rohs-content/bourns-reach-letter.pdf,TC33X-103ECT-ND,https://media.digikey.com/photos/Bourns%20Photos/TC33X%20SERIES.jpg
8,TC33X-2-504E,Bourns Inc.,TRIMMER 500K OHM 0.1W J LEAD TOP,"3,746",In Stock,,10,10,Cut Tape (CT),TC33X-2-504ECT-ND,0.27300,$2.73,1,,TC33X-2-504ECT-ND,32,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8533.40.8050,China,https://www.bourns.com/docs/rohs-content/bourns-reach-letter.pdf|https://www.bourns.com/docs/rohs-cofc/cofc_trim2.pdf?sfvrsn=d03d9c0f_4,TC33X-2-504ECT-ND,https://media.digikey.com/photos/Bourns%20Photos/TC33X%20SERIES.jpg
9,NVTR4503NT1G,onsemi,MOSFET N-CH 30V 1.5A SOT23-3,"11,318",In Stock,,10,10,Cut Tape (CT),NVTR4503NT1GOSCT-ND,0.30600,$3.06,1,,NVTR4503NT1GOSCT-ND,48,https://www.onsemi.com/pdf/datasheet/ntr4503n-d.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8541.21.0095,China,https://www.onsemi.com/site/pdf/RoHS-statement.pdf|https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=NVTR4503NT1G|https://www.onsemi.com/site/pdf/REACH-compliance-statement.pdf,NVTR4503NT1GOSCT-ND,"https://media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg"
10,MMBT3906-7-F,Diodes Incorporated,TRANS PNP 40V 0.2A SOT23-3,"463,784",In Stock,,10,10,Cut Tape (CT),MMBT3906-FDICT-ND,0.11700,$1.17,1,,MMBT3906-FDICT-ND,26,https://media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/MMBT3906.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8541.21.0075,China,https://www.diodes.com/assets/Quality-Reliability-Docs/Master_CofC.pdf,MMBT3906-FDICT-ND,https://media.digikey.com/Photos/Diodes%20Photos/SOT-23-3%20PKG.jpg
